"","","","","","","","","","","","","","","","","","","","","","","","","",""
"3/30/2013","5.0917","1056.8000","3.3506","908.5800","2.8130","583.8391","23.6414","32.9300","15.9500","19.7435","32.3900","11.0100","1.0588","4.2870","0.2000","0.0000","0.0000","0.0000","86.9217","139.8812","32.0145","180.0674","359.8650","0.2502","|"
"3/31/2013","7.1734","962.5200","7.1966","854.6400","2.7934","453.5435","22.4136","29.3100","14.5700","25.7248","46.8600","13.1800","3.4206","10.3100","0.2000","0.0000","0.0000","0.0000","86.6303","139.4888","31.6279","180.1419","359.9803","0.3623","|"
"4/1/2013","6.5913","1034.8000","7.2342","923.5100","1.9167","299.9225","20.4751","27.6100","15.2500","28.7260","48.1300","15.2200","3.1266","8.5100","0.2000","0.0000","0.0000","0.0000","86.3400","139.0978","31.2425","179.9659","359.7140","0.0928","|"
"4/2/2013","7.1575","974.5000","7.4006","888.3700","2.5015","413.7867","21.7483","31.5100","14.9600","22.5013","32.5700","12.4900","1.8955","6.3380","0.2000","0.0000","0.0000","0.0000","86.0504","138.7079","30.8587","180.0410","359.8293","0.2050","|"
"4/3/2013","6.9902","1096.8000","8.3831","938.4300","1.7205","371.8735","23.2252","33.4500","14.1500","22.6811","41.6300","9.7500","1.2792","4.4500","0.2000","0.0000","0.0000","0.0000","85.7629","138.3197","30.4764","180.1137","359.9392","0.3119","|"
"4/4/2013","5.4674","1150.1000","2.7835","802.0500","3.5681","641.4693","24.3539","35.2100","14.9000","20.2228","36.3400","9.0000","2.0220","8.1100","0.2000","0.0000","0.0000","0.0000","85.4768","137.9330","30.0955","179.9357","359.6765","0.0462","|"
"4/5/2013","6.8543","979.1400","7.4346","918.6100","1.8098","342.7555","24.5414","32.4800","18.0000","21.8421","40.4200","9.6900","2.5299","6.6500","0.2000","0.0000","0.0000","0.0000","85.1921","137.5480","29.7164","180.0068","359.7834","0.1502","|"
"4/6/2013","5.8363","1066.3000","4.7441","890.4700","3.2672","614.5335","24.5577","32.7200","16.9000","19.1409","32.8000","10.9500","2.4066","5.5500","0.2000","0.0000","0.0000","0.0000","84.9085","137.1649","29.3393","180.0770","359.8873","0.2512","|"
"4/7/2013","6.7024","1054.8000","5.4775","803.1700","3.0764","591.5863","25.3054","33.0500","16.8100","17.3182","35.1700","7.4800","2.6540","7.9100","0.2000","0.0000","0.0000","0.0000","84.6269","136.7836","28.9639","180.1463","359.9882","0.3492","|"
"4/8/2013","4.0530","1207.9000","1.4456","941.1200","2.9005","619.4145","16.4508","21.9300","8.6800","35.9771","82.3000","13.3400","4.4845","13.9100","0.2000","0.0011","0.2540","0.0000","84.3470","136.4044","28.5904","179.9645","359.7277","0.0860","|"
"4/9/2013","6.8183","1249.5000","6.3460","940.4900","2.6310","544.3376","16.0834","23.1300","12.2700","20.9853","28.9900","11.8300","5.2645","10.7800","0.2000","0.0000","0.0000","0.0000","84.0685","136.0273","28.2192","180.0317","359.8252","0.1808","|"
"4/10/2013","7.7168","1001.8000","10.0363","959.3400","1.3836","308.7500","18.2645","27.1100","9.6000","19.1369","33.9600","9.5400","1.4915","4.8870","0.2000","0.0000","0.0000","0.0000","83.7926","135.6524","27.8504","180.0977","359.9196","0.2725","|"
"4/11/2013","6.4355","1089.6000","5.7318","917.6600","2.4952","626.0050","20.9204","31.0200","12.0000","18.0447","32.2100","9.1800","1.0356","4.4250","0.2000","0.0000","0.0000","0.0000","83.5178","135.2799","27.4835","179.9126","359.6606","0.0109","|"
"4/12/2013","7.5436","994.1300","8.7969","901.6300","1.8596","287.7383","23.1412","33.0800","14.7200","19.9909","32.4500","10.9600","1.6645","5.5000","0.2000","0.0000","0.0000","0.0000","83.2455","134.9098","27.1191","179.9761","359.7514","0.0991","|"
"4/13/2013","7.3174","1073.9000","6.0367","855.9300","3.2854","447.6413","25.3375","33.9900","14.3100","17.6932","43.2500","7.7500","3.4067","9.5000","0.2000","0.0000","0.0000","0.0000","82.9752","134.5423","26.7573","180.0384","359.8390","0.1842","|"
"4/14/2013","7.5885","998.1100","9.0338","920.8700","1.6268","197.8787","25.5743","34.1400","18.7900","18.7361","32.7800","11.8600","3.2229","7.9000","0.2000","0.0000","0.0000","0.0000","82.7068","134.1774","26.3982","180.0994","359.9235","0.2662","|"
"4/15/2013","7.7272","1026.5000","7.5599","904.2400","2.4318","308.1011","21.6154","28.2500","16.0200","21.6613","33.1100","11.5400","5.4654","10.3900","1.5250","0.0000","0.0000","0.0000","82.4409","133.8152","26.0414","179.9089","359.6644","0.0048","|"
"4/16/2013","5.7000","1182.8000","4.2740","872.2500","3.0841","582.9650","15.4382","21.6800","10.9400","30.0659","45.4800","14.6200","4.1741","11.1000","0.2000","0.0000","0.0000","0.0000","82.1774","133.4559","25.6876","179.9669","359.7450","0.0830","|"
"4/17/2013","7.2557","1330.3000","7.3237","951.2200","2.7581","528.7715","15.0611","21.6000","10.4700","21.4788","42.6000","9.2000","3.4668","10.3300","0.2000","0.0000","0.0000","0.0000","81.9163","133.0996","25.3367","180.0235","359.8224","0.1581","|"
"4/18/2013","8.1761","1048.8000","10.2823","948.6300","1.5836","198.0166","15.9753","23.6100","8.4400","16.4657","31.3900","8.1900","1.8575","6.1750","0.2000","0.0000","0.0000","0.0000","81.6576","132.7463","24.9890","180.0784","359.8966","0.2300","|"
"4/19/2013","7.4911","1198.5000","8.6616","941.6700","2.0762","554.0533","19.7435","29.3900","8.1000","13.5708","31.3500","7.4600","1.2272","4.3370","0.2000","0.0000","0.0000","0.0000","81.4015","132.3962","24.6440","180.1318","359.9676","0.2988","|"
